"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"news:RANDOM_SPORTS","Sports","Spor"
"news:RANDOM_ENTERTAINMENT","Entertainment","Eğlence"
"news:RANDOM_POLITICS","Politics","Politika"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grestin Sınır Kapısı Sonunda Açıldı!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Altı yılın ardından Dışişleri Bakanlığı Güvenliğimizi Sağlayabilecek Mi?"
"news:FIRST_DAY","Families To Reunite","Aileler Bir Araya Geliyor"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestin Sınırında Başarı!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Giriş Kısıtlamaları Azaltıldı, Yabancılar Kabul Ediliyor"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Analistler Iyimser"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Ticarette Artış Öngörülüyor"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Teröristler Grestin'e Saldırdı!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Kolechia'lı Provakatörlerden Şüpheleniliyor."
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Sınır Kapısı Tecriti"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","Daha Fazla Güvenlik - Daha Fazla Inceleme"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Karaborsada Dev Artış"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Devlet Gevşek Göçmenlik Kontrollerini Suçladı"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Sınır Kapısı Genişlet Çalışmaları Ertelendi"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Iş Imkanları Azalıyor"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Göçmenler, Vatandaşların Elinden Işleri Alıyor"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Kolechia Lideri Ihtarname Çekti"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","Sınırda Gerekçesiz Arama Yapmanın Insan Haklarına Uymadığını Söyledi"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Grestin Sınırında Bir Saldırı Daha!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Canlı Bomba Güvenlikten Sıyrıldı"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Grestin Sınırında Yine Saldırı"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Suicide Bombings Becoming Routine"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Insan Ticareti Yapanlar Yakalandı!"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","Grestin Sınırındaki Memur Çete Başını Yakaladı"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","Grestin Kulübündeki Dansçılar Ölü Bulundu!"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","Göç ile Gelen Kızlar Insan Ticareti Kurbanı Oldu"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","Republia'lı Ünlü Koşucu Cinayetten Aranıyor!"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Vince Lestrade'ın Konumu Bilinmiyor - Republia'ya Kaçtığı Düşünülmekte"
"news:KILLERATHLETE","Vince Lestrade: Profile","Vince Lestrade Kimdir?"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","Kıskançlıktan Kız Arkadaşını Mı Öldürdü?"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Vince Lestrade Grestin'de Yakalandı!"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","Ünlü Koşucu Artık Bir Suçlu"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Vince Lestrade Arstotzka'da Görüldü"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Vince Lestrade Kolechia'da Yakalandı!"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","Kolechia Üst Düzey Diplomatını Yolluyor"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","Ticaretteki Sorunları Düzeltecek"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","Üst Düzey Kolechia'lı Arstotzkan Casusu Çıktı!"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","Kayıplara Karıştı, Öldüğü Düşünülüyor"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","Kolechia'da Temizlik - Arstotzka Casusları Yollandı"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","Yeni Üyeler Getirildi"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","Kolechia'da Kabine Temizliği - Ayağına Sıktı!"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","Üyelerin Gitmesi Yanlış Kanıtlara Dayanıyor"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","Dışişleri Bakanlığında Hırsızlık!"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","Çalınan Eşyalar Çalışmayı Sınırlıyor"
"news:SECRET_SOCIETY","The History of Arstotzka","Arstotzka'nın Tarihi"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","Resimler ve Bolca Yazılarla"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","Suçluların Güvenli Bölgesi"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","Arstotzka'nın Itibarı Sarsıntıda"
"news:LOSING_GUARDS","Ministries Fight Over Staff","Bakanlıklar Memur Bulamıyor"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","Kalifiye Güvenlik Görevlileri ve Askerler Aranıyor"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","Sınırda Güçlendirme ve Tayinler Başladı"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","Ufak Detaylarla Hala Güvenli Mi?"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","Grestin Olayı Güvenlik Risklerini Açığa Çıkardı"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","Daha Fazla Açığa Yol Açacağı Öngörülüyor"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","Grestin Sınırında Motorlu Saldırı!"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","Aşırıcılar Büyüyor - Grestin Mıknatıs Gibi Oldu"
"news:BORDER_TARGETED","Can The Wall Hold?","Duvar Işe Yarar Mı?"
"news:BORDER_TARGETED","Border Safety Continually Questioned","Sınır Güvenliği Sorgulanmaya Devam Ediyor"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","Koordine Sınır Ihlali!"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","Bilinmeyen Saldırganlar Güvenlikten Kaçtı"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","Arstotzka'nın Kırılgan Sınırı"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","Birleşik Federasyon Gazetecisi Gevşek Protokolleri Açığa Çıkardı"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","Arstotzka'nın Sağlam Sınırı"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","Uluslararası Medya Vize Önyargılarını Ortaya Çıkardı"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","Bir Bombacı Daha Girmeyi Başardı!"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","Göçmen Taraması Yetersiz Kaldı"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","Dışişleri Bakanlığına Yeni Atama Yapıldı"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","Sınırda Daha Sert Protokoller Uygulanacak"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","Antegria Casusu Ortaya Çıkarıldı!"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","Muhbir Kaçtı"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","Antegrialı Muhbir Republia'da Sığınmayı Reddetti"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","Antegrialı Muhbir Birleşik Federasyon Tarafından Reddedildi"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","Antegrialı Muhbir Arstotzka'ya Getirildi"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","Komşu Ülkeler Durumdan Rahatsız"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","Antegrialı Muhbir Geldiği Gibi Kayboldu"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","Antegrialı Muhbir Kabul Edilmedi - Varlıkları Nerede Bilinmiyor"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","Impor'dan Dengesiz Ticaret Kurallarına Protesto"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","Arstotzka'nın Imporia Mallarından Haksız Vergi Aldığını Söylüyor"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","Impor Ticaret Yaptırımlarına Başladı!"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","Arstotzka'dan Ihrac Edilen Ürünleri Sınırladı"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","Impor Yaptırımları Sona Erdi!"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","Bu kadar hızlı mı? Ne Oldu?"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","Omurga Cerrahisinde Büyük Başarı"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","Yalnızca Arstotzkalı Uzmanlar Başarabilirdi"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","Birleşik Fed.'da Çocuk Felci Yeniden Görüldü"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","Karantina ya da başka bir önlem alınacak mı?"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","Büyük Salgın Tüm Birleşik Fed.'u Etkiledi!"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","Kontrol Altına Alınmış Çocuk Felci Hortladı"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","Sağlık Bak. Vatandaşı Korumak Için Harekete Geçti"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","Sınırlarda Yeni Kararlar Uygulanacak"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","Çocuk Katili Birleşik Fed. Hapisanesinden Kaçtı!"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Simon Wens Memleketi Arstotzka'ya Mı Dönüyor?"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","Gennistora'da Kan Gövdeyi Götürdü!"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Simon Wens Ölü Bulundu"
"news:EZIC_ATTACK0","Grestin Metro Halted","Grestin Metrosu Duraksadı"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","Tüneldeki Çökme Sabotaj Olarak Düşünülüyor"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","Paradizna Devlet Binası Boşaltıldı!"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","Bilinmeyen Bir Gaz Saptandı - Çalışanlar Güvende, Kayıtlar Kayıp"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","Maliye Bakanı Kayıp!"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","Borsada Hızlı Satışlar ve Dengesizlik Söz Konusu"
"news:POISONING","Mysterious Poison Hospitalizes Several!","Bilinmeyen Zehir Hastanelik Etti!"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","Isımsiz Göçmen Ölümcül Ajanı Gizlice Içeri Soktu"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","Üst Düzey Müzakereciler Çağırıldı"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","Grestin Bölgesinde Ayrılık Sorunları Devam Ediyor"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","Kolechialılar Çıldırmış"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","En Iyi Müzakerecinin Tuhaf Davranışları Anlaşmaları Bozuyor"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","Geçici Anlaşmalar"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","Kolechialı Müzakereciler Anlaşma Temellerini Attı"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","Kolechia Anlaşmalarına Taş Koyuldu"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","Işler yokuşa sürülüyor"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","Grestin Sınır Kapısının Geleceği Belirsiz"
"news:BORDER_CLOSING","Too Open, Too Soon?","Önüne Gelenin Geçebilmesi Erken Kapanmaya Yol Açtı"
"text:language_code","en","tr"
"text:language_name","ENGLISH","TURKISH"
"text:language_author","Author","Bared Çil"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","Geliştirici: Lucas Pope"
"text:papers_please","Papers, please.","Evraklar, lütfen."
"text:protocol_violated","Protocol Violated.","Protokol Ihlali."
"text:unauth_confiscation","Unauthorized passport confiscation","Izinsiz Pasaport Müsaderesi"
"text:missing_reason","Denial reason not given","Ret Sebebi Verilmedi"
"text:citation_warning","WARNING ISSUED - NO PENALTY","UYARI VERILDI - CEZA YOK"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","SON UYARU - CEZA YOK"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","CEZA VERILDI - $0 KREDI"
"text:border_next","NEXT!","SIRADAKI!"
"text:border_bomber","FOR KOLECHIA!","KOLECHIA IÇIN!"
"text:border_comeback","COME BACK AT 6AM TOMORROW","YARIN SAAT 6'DA GELIN"
"text:border_announce0","ENTRY IS NOT GUARANTEED","GIRIŞ GARANTI DEĞIL"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","EVRAKLARINIZI HAZIRLAYIN"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","ARSTOTZKA'YA HOŞ GELDINIZ"
"text:border_guardout","OUT!","ÇIK DIŞARI!"
"text:border_elisa","ELISA!","ELISA!"
"text:family_son_budget","SON","OĞUL"
"text:family_wife_budget","WIFE","EŞ"
"text:family_niece_budget","NIECE","YEĞEN"
"text:family_uncle_budget","UNCLE","AMCA"
"text:family_mil_budget","MIL","MIL"
"text:family_son_status","Son","Oğul"
"text:family_wife_status","Wife","Eş"
"text:family_niece_status","Niece","Yeğen"
"text:family_uncle_status","Uncle","Amca"
"text:family_mil_status","Mother-in-law","Kaynana"
"text:family_son_message","son","Oğlun"
"text:family_wife_message","wife","Eşin"
"text:family_niece_message","niece","Yeğenin"
"text:family_uncle_message","uncle","Amcan"
"text:family_mil_message","mother-in-law","Kaynanan"
"text:night_endof","END OF","SONU"
"text:night_day","DAY $0","GÜN $0"
"text:family_verysick_1","Your $0 will die without medicine.","$0 ilaç almazsa ölebilir."
"text:family_verysick_many","Very sick family members will die without medicine.","Çok hasta aile üyeleri ilaç almazsa ölebilir."
"text:family_sick_1","Your $0 is sick and needs medicine.","$0 hasta ve ilaca ihtiyaci var."
"text:family_sick_many","Your family needs medicine.","Ailenin ilaca ihtiyaci var"
"text:family_died_1","Your $0 has died.","$0 vefat etti."
"text:family_died_2","Your $0 and $1 have died.","$0 ve $1 vefat etti."
"text:family_died_3","Your $0, $1, and $2 have died.","$0, $1 ve $2 vefat etti."
"text:family_died_4","Your $0, $1, $2, and $3 have died.","$0, $1, $2 ve $3 vefat etti."
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","$0, $1, $2, $3 ve $4 vefat etti."
"text:family_escape_with_0","You leave behind everything.","Her şeyi geride bıraktın."
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","$0 ile birlikte Obristan'a gittin."
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","$0 ve $1 ile birlikte Obristan'a gittin."
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","$0, $1 ve $2 ile birlikte Obristan'a gittin."
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","$0, $1, $2 ve $3 ile birlikte Obristan'a gittin."
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","$0, $1, $2, $3 ve $4 ile birlikte Obristan'a gittin."
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","$0 Nirsk'e dönmek için hazırlanıyor."
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","$0 ve $1 Nirsk'e dönmek için hazırlanıyor."
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","$0, $1 ve $2 Nirsk'e dönmek için hazırlanıyor."
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","$0, $1, $2 ve $3 Nirsk'e dönmek için hazırlanıyor."
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","$0, $1, $2, $3 ve $4 Nirsk'e dönmek için hazırlanıyor."
"text:family_flee_final_0","Obristan Above All","Vatan Millet Obristan"
"text:family_flee_final_1","The safety of your $0 is unknown.","$0 güvende mi bilinmiyor."
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","$0 ve $1 güvende mi bilinmiyor."
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","$0, $1 ve $2 güvende mi bilinmiyor."
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","$0, $1, $2 ve $3 güvende mi bilinmiyor."
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","$0, $1, $2, $3 ve $4 güvende mi bilinmiyor."
"text:budget_savings","SAVINGS","BİRİKİM"
"text:budget_salary","SALARY ($0)","MAAŞ ($0)"
"text:budget_penalties","PENALTIES ($0)","CEZALAR ($0)"
"text:budget_bribes","BRIBES","RÜŞVET"
"text:budget_rent","RENT","KİRA"
"text:budget_food","FOOD","YEMEK"
"text:budget_heat","HEAT","ISINMA"
"text:budget_medicine","MEDICINE ($0)","İLAÇ ($0)"
"text:budget_sleep","SLEEP","UYKU"
"text:budget_escape","ESCAPE","KAÇ"
"text:menu_back","BACK","GERİ"
"text:confirm_ok","OKAY","ONAY"
"text:confirm_cancel","CANCEL","İPTAL"
"text:menu_mainmenu","MAIN MENU","ANA MENÜ"
"text:menu_resume","RESUME","DEVAM ET"
"text:menu_quit","QUIT","ÇIK"
"text:menu_done","DONE","TAMAM"
"text:menu_story","STORY","HİKAYE"
"text:menu_endless","ENDLESS","SONSUZ"
"text:menu_play","PLAY","OYNA"
"text:menu_fullscreen","Fullscreen","Tam Ekran"
"text:menu_nudity","Nudity","Çıplaklık"
"text:menu_easy","Easy Mode","Kolay Mod"
"text:menu_music","Music","Müzik"
"text:menu_sound","Sound","Ses"
"text:menu_dateformat","Date Format","Tarih Formatı"
"text:menu_language","Language","Dil"
"text:menu_easytip","+ 20 credits per day","Günde + 20 kredi"
"text:menu_stats","STATS","DURUM"
"text:menu_next","NEXT","SONRAKİ"
"text:menu_walktowork","WALK TO WORK","İŞE GİT"
"text:menu_paused","PAUSED","DURDURULDU"
"text:menu_settings","SETTINGS","AYARLAR"
"text:menu_credits","CREDITS","EMEĞİ GEÇENLER"
"text:menu_checkforupdates","CHECK FOR UPDATES","GÜNCELLEMELERI KONTROL ET"
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal","Oynanan süre $time
$processed yolcu kontrol edildi
$approved kabul edildi
$denied reddedildi
$detained gözaltına alındı
$citations uyarı alındı
$stamps kaşe basıldı
$endtotal sondan $endnum son"
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.","STEAM BAĞLANTISI BAŞARISIZ

Sorun devam ederse Steam'i tekrar yükleyin."
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.","STEAM YENİDEN BAŞLATILAMADI

Sorun devam ederse Steam'i tekrar yükleyin."
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.","STEAM BAĞLANTISI BAŞARISIZ

Oyun Steam istemcisi üzerinden yeniden başlatılacak."
"text:steam_restart","RESTART","YENİDEN BAŞLAT"
"text:load_title","Select day to continue or start a new game","Devam etmek için bir gün seçin veya yeni oyuna başlayın"
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.","$0 günün kaydı silinsin mi?

Bu işlemi geri alamazsınız."
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.","$0 günden başlayan bölüm $1 gününe kadar silinsin mi?

Bu işlemi geri alamazsınız."
"text:load_delete","DELETE","SİL"
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.","Kayıt yerleri dolu.

En sağdaki kayıttan devam edin ya da yer açmak için bir bölümü silin."
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt","Gün $day
""$news""

$savings kredi, $family aile üyesi,
$tokens jeton, daire $apt"
"text:load_continue","CONTINUE","DEVAM ET"
"text:emotion_happy","HAPPY","MUTLU"
"text:emotion_ok","OK","IYI"
"text:emotion_sad","SAD","ÜZGÜN"
"text:emotion_cold","COLD","ÜŞÜYOR"
"text:emotion_sick","SICK","HASTA"
"text:emotion_verysick","VERY SICK","ÇOK HASTA"
"text:emotion_dead","DEAD","ÖLDÜ"
"text:emotion_hungry","HUNGRY","AÇ"
"text:load_latest","LATEST","EN SON"
"text:entry_approved","ENTRY GRANTED","GIRIŞ IZNI VERILDI"
"text:entry_denied","ENTRY DENIED","GIRIŞ REDDEDILDI"
"text:stamp_approved","APPROVED","KABUL EDILDI"
"text:stamp_denied","DENIED","REDDEDILDI"
"text:stamp_reason","REASON","SEBEP"
"text:booth_dragdocs","DRAG DOCUMENTS HERE","BELGELERI BURAYA SÜRÜKLEYIN"
"text:booth_highlight","HIGHLIGHT DISCREPANCIES","UYUŞMAZLIKLARI VURGULA"
"text:booth_discrepancy","DISCREPANCY
DETECTED","UYUŞMAZLIK
SAPTANDI"
"text:booth_interrogate","INTERROGATE","SORGULA"
